iter	Passed	Remaining
137	2476	15471
138	2493	15445
139	2510	15422
140	2529	15410
141	2545	15382
142	2562	15359
143	2579	15333
144	2596	15309
145	2615	15299
146	2632	15277
147	2651	15262
148	2669	15244
149	2688	15234
150	2706	15219
151	2724	15198
152	2740	15173
153	2758	15155
154	2781	15162
155	2800	15150
156	2816	15121
157	2832	15093
158	2849	15069
159	2866	15049
160	2884	15029
161	2901	15010
162	2921	15000
163	2937	14976
164	2956	14961
165	2973	14938
166	2989	14913
167	3006	14889
168	3022	14863
169	3040	14846
170	3105	15055
171	3142	15127
172	3173	15172
173	3216	15269
174	3256	15350
175	3307	15484
176	3326	15465
177	3347	15457
178	3365	15437
179	3383	15412
180	3399	15383
181	3417	15361
182	3436	15342
183	3457	15334
184	3477	15318
185	3498	15312
186	3517	15290
187	3535	15269
188	3554	15252
189	3573	15234
190	3591	15211
191	3616	15217
192	3634	15195
193	3652	15176
194	3671	15156
195	3687	15128
196	3705	15105
197	3724	15085
198	3741	15061
199	3766	15064
200	3786	15050
201	3804	15029
202	3834	15055
203	3852	15031
204	3868	15003
205	3884	14974
206	3901	14944
207	3919	14924
208	3936	14898
209	3954	14875
210	3970	14847
211	3986	14817
212	4001	14786
213	4015	14748
214	4032	14722
215	4047	14689
216	4067	14676
217	4083	14647
218	4100	14624
219	4116	14596
220	4133	14568
221	4149	14542
222	4165	14515
223	4181	14486
224	4202	14474
225	4219	14449
226	4235	14423
227	4254	14405
228	4271	14379
229	4287	14354
230	4304	14330
231	4318	14296
232	4336	14273
233	4353	14249
234	4367	14217
235	4385	14198
236	4402	14173
237	4419	14149
238	4436	14127
239	4454	14104
240	4470	14079
241	4484	14047
242	4502	14026
243	4516	13995
244	4533	13971
245	4548	13940
246	4564	13914
247	4579	13885
248	4596	13863
249	4615	13845
250	4632	13824
251	4648	13796
252	4665	13774
253	4682	13753
254	4700	13733
255	4718	13713
256	4733	13684
257	4751	13663
258	4766	13637
259	4787	13626
260	4804	13604
261	4818	13573
262	4832	13542
263	4847	13513
264	4864	13492
265	4882	13471
266	4899	13450
267	4914	13422
268	4929	13395
269	4944	13367
270	4958	13339
271	4971	13305
272	4985	13277
273	5011	13279
274	5027	13255
275	5043	13229
276	5059	13205
277	5072	13175
278	5086	13145
279	5103	13124
280	5121	13103
281	5134	13073
282	5154	13058
283	5167	13028
284	5183	13005
285	5199	12979
286	5218	12965
287	5233	12939
288	5248	12913
289	5263	12886
290	5279	12863
291	5299	12849
292	5315	12824
293	5331	12803
294	5346	12778
295	5362	12753
296	5377	12728
297	5393	12706
298	5411	12686
299	5427	12665
300	5448	12652
301	5462	12626
302	5479	12603
303	5495	12581
304	5509	12554
305	5524	12529
306	5539	12505
307	5557	12485
308	5571	12459
309	5591	12446
310	5607	12423
311	5624	12401
312	5640	12379
313	5658	12361
314	5675	12342
315	5693	12323
316	5710	12304
317	5729	12288
318	5744	12263
319	5759	12239
320	5776	12218
321	5793	12198
322	5811	12181
323	5826	12157
324	5842	12134
325	5858	12111
326	5878	12099
327	5892	12073
328	5907	12048
329	5922	12024
330	5938	12003
331	5953	11979
332	5967	11952
333	5986	11936
334	5999	11909
335	6013	11883
336	6032	11867
337	6046	11841
338	6061	11818
339	6075	11793
340	6091	11772
341	6106	11748
342	6121	11725
343	6137	11703
344	6151	11679
345	6205	11729
346	6233	11730
347	6270	11748
348	6312	11774
349	6352	11797
350	6381	11798
351	6401	11785
352	6417	11763
353	6432	11739
354	6447	11714
355	6461	11688
356	6478	11668
357	6494	11645
358	6511	11626
359	6525	11600
360	6540	11577
361	6557	11556
362	6573	11535
363	6587	11510
364	6603	11487
365	6617	11463
366	6632	11439
367	6649	11419
368	6668	11404
369	6684	11381
370	6699	11357
371	6715	11336
372	6729	11312
373	6741	11284
374	6756	11261
375	6813	11307
376	6843	11308
377	6888	11335
378	6916	11332
379	6954	11346
380	6969	11323
381	6989	11308
382	7005	11285
383	7020	11262
384	7036	11240
385	7055	11222
386	7070	11199
387	7086	11178
388	7103	11158
389	7119	11135
390	7136	11115
391	7152	11093
392	7170	11075
393	7191	11061
394	7208	11041
395	7224	11018
396	7242	11000
397	7257	10978
398	7272	10954
399	7288	10932
400	7305	10912
401	7323	10893
402	7338	10870
403	7354	10850
404	7370	10828
